Symbol,Revenue,RevenueGrowth,CostOfRevenue,GrossProfit,OperatingExpenses,OperatingIncome,EarningsBeforeTax,IncomeTaxExpense,NetIncome,TotalCurrentAsset,TotalAssets,Payables,TotalDebt,Investments,NetDebt,NetCashFlow,FreeCashFlow,dividendYield,grossProfitMargin,netProfitMargin,marketCap,grossProfitGrowth,operatingIncomeGrowth,netIncomeGrowth,AssetGrowth
A,4048000000,0.0395,2072000000,1976000000,1557000000,419000000,546000000,-3000000,549000000,5509000000,10815000000,302000000,1663000000,96000000,-555000000,353000000,540000000,0.013974214,0.488142292,0.13562253,13187827389,0.0362,0.0855,-0.252,0.0121
AA,13147000000,0.0457,10548000000,2599000000,2353000000,246000000,28000000,284000000,-256000000,2917000000,18680000000,1740000000,342000000,1777000000,76000000,53000000,398000000,,0.197687685,-0.019472123,4337220791,0.6954,1.1007,0.912,
AABA,,,,3230758000,3087816000,142942000,,,,11779102000,45203966000,208691000,1110585000,2308397000,-6821087000,586508000,-787061000,0,,,,-0.0301,-0.7577,,2.672
AAL,42650000000,0.5948,22136000000,20514000000,16265000000,4249000000,3212000000,330000000,2882000000,11750000000,43225000000,1377000000,17720000000,6309000000,9643000000,-146000000,-2198000000,0.003909881,0.48098476,0.067573271,38466844884,0.6546,2.0372,2.5714,0.0224
AAMC,423298000,4.855,26018000,397280000,116412000,280868000,61775000,2096000,59679000,,2760698000,22895000,1339082000,1971579000,,-23218000,-158532000,0,0.938535027,0.140985783,679124035,4.554,6.2256,12.2751,0.9648
AAME,166321000,0.0058,106195000,60126000,53615000,6511000,4904000,474000,4430000,,317008000,13586000,33738000,240285000,,-16727000,326000,0.010322893,0.361505763,0.026635241,83107167.78,-0.0749,-0.5031,-0.6241,-0.0074
AAN,2695033000,0.206,354598000,2340435000,2193954000,146481000,121704000,43471000,78233000,,2456844000,270421000,606082000,21311000,,-227542000,-90495000,0.0035792,0.868425359,0.029028587,2215535866,0.2497,-0.2169,-0.3517,0.3446
AAOI,130449000,0.6634,86203000,44246000,39108000,5138000,4482000,199000,4283000,113239000,183670000,30984000,29919000,9169000,-11934000,10169000,-32552000,0,0.339182362,0.032832755,166236137.1,0.9214,17.7362,4.0462,0.6538
AAON,356322000,0.1096,248059000,108263000,40257000,68006000,68246000,24088000,44158000,124940000,226974000,11370000,0,16834000,-45332000,9867000,37710000,0.008163328,0.303834734,0.123927234,1219616191,0.2057,0.2182,0.1761,0.0535
AAPL,1.83E+11,0.0695,1.12E+11,70537000000,18034000000,52503000000,53483000000,13973000000,39510000000,68531000000,2.32E+11,30196000000,35295000000,1.41E+11,10218000000,-415000000,49900000000,0.019827227,0.385880358,0.216143768,5.99E+11,0.0969,0.0715,0.0668,0.12
AAT,260000000,0.0194,91231000,168769000,85100000,83669000,21756000,0,21756000,,1941762000,50861000,1062811000,0,,10370000,-42131000,0.036464108,0.649111538,0.083676923,1736309687,0.0224,0.0317,0.4294,0.0597
AAU,0,-1,0,0,3138565.405,-3138565.405,-11310830.46,1583030.981,-12893861.45,8360042.169,36160624.78,0,0,3036250.43,,-3289307.229,-8384051.635,0,,,,-1,0.1876,-1.1582,-0.2146
AAWW,1799198000,0.0859,966178000,833020000,657048000,175972000,94079000,-12678000,106757000,565181000,4007277000,42864000,1917940000,138280000,1587256000,-15425000,-271174000,0,0.462995179,0.059335882,1222901142,0.0962,-0.0579,0.1377,0.0777
AAXN,164525000,0.1937,62977000,101548000,69043000,32505000,32311000,12393000,19918000,134642000,185368000,7682000,67000,42070000,-81074000,6096000,32937000,0,0.617219268,0.121063668,1390644255,0.183,0.1631,0.0918,0.2493
AB,0,0,0,0,0,0,200931000,22463000,178468000,,1627892000,0,0,1627740000,,0,180910000,0.106853731,,,2509647398,0,0,0.0783,0.0614
ABB,39830000000,-0.0482,28615000000,11215000000,7566000000,3649000000,3796000000,1202000000,2594000000,24986000000,44852000000,4765000000,7665000000,1502000000,,-578000000,2852000000,0.045652152,0.28157168,0.065126789,46008560000,-0.0648,-0.1759,-0.0693,-0.0668
ABBV,19960000000,0.0623,4426000000,15534000000,12123000000,3411000000,2369000000,595000000,1774000000,16081000000,27513000000,6954000000,14977000000,118000000,6603000000,-1247000000,2937000000,0.030214603,0.778256513,0.088877756,1.04E+11,0.0933,-0.3978,-0.5703,-0.0577
ABC,1.20E+11,0.3594,1.17E+11,2982366000,2200275000,782091000,662317000,388087000,274230000,16800205000,21532183000,15592834000,1995632000,0,187119000,577507000,1200197000,0.013171969,0.024942609,0.002293485,17344701159,0.1892,-0.1295,-0.3677,0.1381
ABCB,207074000,0.3691,0,207074000,150869000,56205000,56205000,17482000,38723000,,4037077000,0,217516000,3461081000,,-97580000,-10092000,0.006253358,1,0.187000782,722037732.7,0.3691,0.9181,1.1027,0.1007
ABEO,925000,-0.547,0,925000,4056000,-3131000,-26778000,0,-26778000,11555000,16582000,5896000,400000,0,-11120000,11096000,-1611000,0,1,-28.94918919,1851232.05,-0.5175,0.1769,-20.1186,26.0506
ABEV,14299586932,-0.0376,4812091626,9487495306,3510927525,5976567781,5284303417,753511077.7,4530792339,7783890349,27090987608,4212504694,1022080360,308449117.5,,-757078482.9,5422305670,0.14057027,0.663480375,0.316847778,73093350000,-0.0471,-0.0873,0.1193,-0.0742
ABG,5867700000,0.0999,4900500000,967200000,698000000,269200000,182600000,71000000,111600000,1275400000,2182000000,245600000,1464200000,0,1461300000,-2500000,10000000,0,0.164834603,0.019019377,2260080018,0.1041,0.1509,0.0229,0.1554
ABIL,21444000,2.6327,13968000,7476000,3533000,3943000,4212000,1090000,3122000,13585000,14455000,1641000,0,1196000,,11333000,12769000,,0.348628987,0.14558851,120228,5.6869,114.9706,12.15,
ABIO,0,0,0,0,9693000,-9693000,-9689000,0,-9689000,15488000,16132000,795000,0,0,-15354000,-1402000,-9425000,0,,,20092961.7,0,-0.3967,-0.0808,-0.0557
ABM,4649700000,0.0501,4160500000,489200000,374400000,114800000,119300000,43700000,75600000,927200000,2192900000,173700000,319800000,32900000,283100000,4100000,83800000,0.024387435,0.105211089,0.016259113,1540856947,0.055,0.0902,0.037,0.0348
ABMD,183643000,0.1614,37322000,146321000,137958000,8363000,8530000,1179000,7351000,117966000,205407000,7746000,0,97424000,-76579000,11465000,20705000,,0.796768731,0.040028751,1036861475,0.1564,-0.4945,-0.5104,0.2083
ABR,93099600,0.0416,46905409,46194191,40541588,5652603,93048490,0,93048490,,1866494039,2653333,1279053023,1466844425,,-9971807,47993247,0.115997285,0.496180338,0.999451018,341731375.2,-0.2627,-0.6783,4.1471,-0.0058
ABT,20247000000,0.03,9218000000,11029000000,8430000000,2599000000,3081000000,797000000,2284000000,13556000000,41207000000,1064000000,7830000000,229000000,3370000000,588000000,2598000000,0.021638335,0.544722675,0.112806836,67790692182,0.054,0.2185,-0.1134,-0.0406
ABTX,47291000,0.3401,0,47291000,33458000,13833000,13833000,4828000,9005000,,1280008000,0,10069000,1079238000,,-45536000,12095000,,1,0.190416781,287220338,0.3401,0.2938,0.3167,
ABUS,14953000,-0.0331,0,14953000,48387000,-33434000,-38837000,0,-38837000,116418000,118178000,9328000,0,39974000,-112161000,3470000,-13397000,0,1,-2.597271451,338055236.6,-0.0331,-1.7513,-1.7616,0.6479
AC,21029000,,-37000,21066000,30990000,-9924000,3775000,775000,3000000,,754694000,73309000,10595000,367778000,,85994000,-58642000,,1.001759475,0.142660136,19515735148,,,,
